mmsi,gear,flag,length,tonnage,engine_power,year,departure_port,departure_date,departure_timestamp,arrival_port,arrival_timestamp,time_at_sea_hours,fishing_hours,distance_traveled_km,mean_daily_fishing_hours,fraction_suspicious_econ,encounters_transshipment,encounters_bunker,encounters_fishing,coverage_gaps,fishing_foreign_eez,fishing_high_seas,fishing_ntz,suspicious_econ,suspicious_fishing_hours,suspicious_time_at_sea_hours,suspicious_distance_traveled_km,suspicious_mean_daily_fishing_hours,suspicious_encounters_transshipment,suspicious_encounters_bunker,suspicious_encounters_fishing,suspicious_coverage_gaps,risk_score
567100002,other_purse_seines,THA,16.7130417408,29.6253943774,96.5207005374,2014,"BAN PHRU NAI,THA",2014-10-02,2014-10-02T00:34:01Z,"PHUKET,THA",2014-11-06T08:25:06Z,45.874999999999986,0,97.75804242830813,7.645833333333334,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1
567100002,other_purse_seines,THA,16.7130417408,29.6253943774,96.5207005374,2014,"PHUKET,THA",2014-12-28,2014-12-28T10:42:38Z,"PHUKET,THA",2014-12-31T08:50:06Z,32.068472222222226,0,30.35953862089573,10.689490740740741,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567100002,other_purse_seines,THA,16.7130417408,29.6253943774,96.5207005374,2014,"30504a9b,THA",2014-11-12,2014-11-12T09:04:03Z,",THA",2014-11-17T05:03:47Z,44.0686111111111,0,52.482700377319276,11.017152777777778,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567100002,other_purse_seines,THA,16.7130417408,29.6253943774,96.5207005374,2014,"30504a9b,THA",2014-12-28,2014-12-28T04:15:50Z,"30504a9b,THA",2014-12-28T04:58:23Z,0.35458333333333336,0,0.6335054363563543,0.35458333333333336,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100002,other_purse_seines,THA,16.7130417408,29.6253943774,96.5207005374,2014,"PHUKET,THA",2014-12-27,2014-12-27T10:41:50Z,"30504a9b,THA",2014-12-28T03:38:47Z,16.08555555555556,0,19.377468851299966,8.04277777777778,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100002,other_purse_seines,THA,16.7130417408,29.6253943774,96.5207005374,2014,"30504a9b,THA",2014-12-28,2014-12-28T05:22:44Z,"PHUKET,THA",2014-12-28T06:05:01Z,0.5227777777777778,0,4.599220854903188,0.5227777777777778,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100002,other_purse_seines,THA,16.7130417408,29.6253943774,96.5207005374,2014,"PHUKET,THA",2014-11-12,2014-11-12T00:54:28Z,"30504a9b,THA",2014-11-12T08:29:30Z,6.611805555555556,0,23.689625553817983,6.611805555555556,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567100002,other_purse_seines,THA,16.7130417408,29.6253943774,96.5207005374,2014,"PHUKET,THA",2014-12-31,2014-12-31T09:33:08Z,",THA",2015-01-01T02:18:08Z,16.174166666666665,0,19.505107765898316,8.087083333333332,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"BANGKOK,THA",2014-03-21,2014-03-21T11:02:50Z,"35960f9b,CHN",2014-04-08T21:23:17Z,249.6836111111113,23.646805555555563,434.07940004812093,17.834543650793652,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,2
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"35960f9b,CHN",2014-04-18,2014-04-18T07:25:56Z,"MAP TA PHUT,THA",2014-06-25T14:28:12Z,717.9851388888887,147.89138888888883,898.9840499618408,16.697328811369516,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,1,2
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"MAPTAPHUT,THA",2014-03-02,2014-03-02T02:21:02Z,"SATTAHIP,THA",2014-03-03T10:42:24Z,4.954444444444444,0,63.61349588585924,2.477222222222222,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
567800000,tanker,THA,20.689994198,1878,280.8273689557,2014,"MAPTAPHUT,THA",2014-11-14,2014-11-14T15:49:39Z,"SATTAHIP,THA",2014-11-19T18:32:46Z,1.7733333333333334,0,24.16198416608738,0.8866666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
